valence,year,acousticness,artists_x,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,matched_artist,artists_y,genres
0.227,1968,0.58,['the moody blues'],0.4370000000000001,242747,0.384,0,3D4hClTdsez9LTDzj38Qzb,0.0297,9,0.154,-14.893,1,The Best Way To Travel - Additional Vocal Mix,20,1968-07-26,0.0539,95.164,the moody blues,the moody blues,"['album rock', 'art rock', 'british invasion', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'hard rock', 'mellow gold', 'progressive rock', 'psychedelic rock', 'rock', 'soft rock', 'symphonic rock']"
0.858,2011,0.000523,['blood orange'],0.841,214040,0.383,0,2NtqI3Ylig7bB36esIwYuE,0.247,11,0.118,-10.437,0,Sutphin Boulevard,45,2011-08-30,0.0675,99.77,blood orange,blood orange,"['alternative r&b', 'art pop', 'chillwave', 'electropop', 'escape room', 'indie soul', 'metropopolis']"
0.371,1948,0.994,['müzeyyen senar'],0.329,214622,0.191,0,3UCJSPAWiuJ7hZvoZQDkBv,0.706,0,0.8270000000000001,-22.721,1,Gel Bu Akşam Benimle,0,1948-03-07,0.146,61.41,müzeyyen senar,müzeyyen senar,"['turkish folk', 'turkish jazz', 'turkish pop']"
0.853,1957,0.978,"['stan getz', 'oscar peterson trio']",0.54,454573,0.278,0,4sA7F6wOKndI7PQUzLR7FL,0.785,5,0.129,-14.428,1,I Want To Be Happy,25,1957-01-01,0.0364,134.267,trio,trio,"['adult standards', 'christmas instrumental', 'jazz trio']"
0.1639999999999999,2013,0.00324,['mayday parade'],0.46,195867,0.621,0,66PmO1K6RXjj6ouXzMeodH,0.0,6,0.131,-6.436,0,Hold Onto Me,48,2013-10-08,0.0303,136.679,mayday parade,mayday parade,"['emo', 'neon pop punk', 'pop emo', 'pop punk']"
0.465,1946,0.988,['lata mangeshkar'],0.493,286126,0.322,0,4DQWhpkqbme021okbpdC22,0.303,8,0.296,-10.089,0,Aaj Dil Pe Koi Zor Chalta Nahin,4,1946-12-01,0.0408,121.675,maná,maná,"['latin', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']"
0.344,1973,0.7959999999999999,['gregg allman'],0.359,376190,0.404,0,5CR7m8oSYzQLjlo9CDgWi9,0.0093,10,0.0732,-12.352,1,Queen Of Hearts,36,1973-10-01,0.0334,155.48,gregg allman,gregg allman,"['blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'jam band', 'mellow gold', 'modern blues', 'roots rock', 'southern rock']"
0.12,1964,0.386,['tammy wynette'],0.462,199773,0.202,0,6CXiIy9QdSfqwr1QmRsZn4,0.000211,8,0.125,-16.323,1,You and Me,21,1964,0.0281,76.741,tammy wynette,tammy wynette,"['country', 'country dawn', 'nashville sound']"
0.62,1954,0.961,['hermes nye'],0.568,125547,0.152,0,0ITm5KkP8IWvuvG0MFyKoq,0.00324,4,0.102,-11.976,1,"Roll, Alabama, Roll",0,1954-01-01,0.123,160.71200000000005,hermes nye,hermes nye,['american folk revival']
0.489,1982,0.5429999999999999,['pat metheny group'],0.645,527373,0.345,0,4gGbnyw4jztAZSIPYuabs5,0.866,0,0.0983,-15.857,0,Are You Going With Me?,48,1982-05-03,0.0327,120.272,pat metheny,pat metheny,"['contemporary post-bop', 'ecm-style jazz', 'jazz fusion']"
0.64,1999,0.0364,['people under the stairs'],0.7490000000000001,271080,0.8390000000000001,1,0msneWUDfYKAGrifwEDhtl,0.0,1,0.134,-9.173,0,San Francisco Knights,56,1999-10-26,0.231,87.587,"the choir of trinity college, cambridge","the choir of trinity college, cambridge","['british choir', 'cambridge choir', 'choral']"
0.581,1948,0.995,['g. m. durrani'],0.6509999999999999,186394,0.106,0,5jousSA1nYcZDOY9zI1t6K,0.183,3,0.141,-12.987,0,Dil Fida Karte Hain,0,1948-12-31,0.184,135.859,rani,rani,['uk pop']
